,gameId,blueWins,wardsPlaced,wardsDestroyed,kills,deaths,assists,eliteMonsters,dragonsTaken,heraldsTaken,towersLost,totalGold,avgLevel,totalExperience,totalMinionsKilled,totalJungleMinionsKilled,goldDiff,experienceDiff,csPerMin,goldPerMin,losingTeamWardsPlaced,losingTeamWardsDestroyed,losingTeamFirstBlood,redKills,redDeaths,losingTeamAssits,redEliteMonsters,redDragons,redHeralds,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,losingTeamTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,losingTeamGoldPerMin,blueKills,blueDeaths,blueEliteMonsters,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,redFirstBlood,teamWon
63,4516919746,1,122,3,9,1,10,2,1,1,0,18269,7.2,19659,229,68,3933,2922,22.9,1826.9,14,3,0.0,1.0,9.0,1,0.0,0.0,0.0,0.0,14336.0,6.4,16737.0,233.0,40,-3933.0,-2922.0,23.3,1433.6,,,,,,,,,,,,,,,blue
68,4521227315,1,14,0,3,5,3,0,0,0,0,16026,7.0,18490,233,57,-554,521,23.3,1602.6,11,1,1.0,5.0,3.0,6,1.0,1.0,0.0,0.0,16580.0,6.8,17969.0,234.0,44,554.0,-521.0,23.4,1658.0,,,,,,,,,,,,,,,blue
71,4479974478,1,36,0,5,4,6,0,0,0,0,15887,6.8,17591,200,32,1173,953,20.0,1588.7,12,1,0.0,4.0,5.0,3,1.0,1.0,0.0,0.0,14714.0,6.6,16638.0,186.0,63,-1173.0,-953.0,18.6,1471.4,,,,,,,,,,,,,,,blue
74,4525208730,1,15,3,6,4,4,1,1,0,0,16645,7.2,19110,242,52,1151,470,24.2,1664.5,15,2,0.0,4.0,6.0,3,1.0,0.0,1.0,0.0,15494.0,7.0,18640.0,205.0,50,-1151.0,-470.0,20.5,1549.4,,,,,,,,,,,,,,,blue
75,4512774492,1,50,4,6,4,8,2,1,1,0,16248,6.8,17200,200,52,1463,1490,20.0,1624.8,48,2,0.0,4.0,6.0,8,0.0,0.0,0.0,0.0,14785.0,6.6,15710.0,169.0,52,-1463.0,-1490.0,16.9,1478.5,,,,,,,,,,,,,,,blue
77,4464439713,1,17,2,8,4,7,1,0,1,0,16784,6.6,17242,212,40,1424,1060,21.2,1678.4,13,4,0.0,4.0,8.0,5,0.0,0.0,0.0,0.0,15360.0,6.4,16182.0,180.0,61,-1424.0,-1060.0,18.0,1536.0,,,,,,,,,,,,,,,blue
78,4479823004,1,18,1,13,9,18,1,1,0,0,19032,7.4,18951,232,44,527,721,23.2,1903.2,12,4,1.0,9.0,13.0,5,0.0,0.0,0.0,0.0,18505.0,7.0,18230.0,216.0,63,-527.0,-721.0,21.6,1850.5,,,,,,,,,,,,,,,blue
83,4509784380,1,18,3,9,8,7,1,1,0,0,17977,7.0,18162,235,41,705,192,23.5,1797.7,16,0,1.0,8.0,9.0,8,0.0,0.0,0.0,0.0,17272.0,7.0,17970.0,207.0,44,-705.0,-192.0,20.7,1727.2,,,,,,,,,,,,,,,blue
84,4524411421,1,16,0,10,10,14,1,1,0,0,18138,7.0,18159,208,55,908,306,20.8,1813.8,15,1,1.0,10.0,10.0,16,0.0,0.0,0.0,0.0,17230.0,7.0,17853.0,210.0,44,-908.0,-306.0,21.0,1723.0,,,,,,,,,,,,,,,blue
85,4519898107,1,14,2,7,2,12,2,1,1,0,18025,7.2,19864,261,68,3558,3243,26.1,1802.5,25,0,1.0,2.0,7.0,3,0.0,0.0,0.0,0.0,14467.0,6.8,16621.0,220.0,56,-3558.0,-3243.0,22.0,1446.7,,,,,,,,,,,,,,,blue
87,4521948875,1,16,4,5,8,7,1,1,0,0,15752,6.6,17113,201,48,-1763,-1864,20.1,1575.2,19,2,1.0,8.0,5.0,6,0.0,0.0,0.0,0.0,17515.0,7.2,18977.0,248.0,40,1763.0,1864.0,24.8,1751.5,,,,,,,,,,,,,,,blue
88,4509102299,1,15,0,10,4,12,0,0,0,0,18480,7.4,19565,232,64,2547,2189,23.2,1848.0,12,1,1.0,4.0,10.0,4,0.0,0.0,0.0,0.0,15933.0,6.6,17376.0,247.0,41,-2547.0,-2189.0,24.7,1593.3,,,,,,,,,,,,,,,blue
92,4499940691,1,16,3,9,2,5,0,0,0,0,17139,7.2,19137,223,51,3037,2694,22.3,1713.9,14,2,0.0,2.0,9.0,2,1.0,1.0,0.0,0.0,14102.0,6.6,16443.0,213.0,41,-3037.0,-2694.0,21.3,1410.2,,,,,,,,,,,,,,,blue
93,4426644547,1,14,4,7,7,6,0,0,0,1,19229,7.2,18820,257,62,3545,2162,25.7,1922.9,19,3,0.0,7.0,7.0,10,1.0,1.0,0.0,0.0,15684.0,6.6,16658.0,145.0,36,-3545.0,-2162.0,14.5,1568.4,,,,,,,,,,,,,,,blue
96,4499622849,1,16,6,5,4,9,0,0,0,0,16415,6.8,17645,247,37,1626,747,24.7,1641.5,17,2,0.0,4.0,5.0,5,1.0,1.0,0.0,0.0,14789.0,7.0,16898.0,203.0,51,-1626.0,-747.0,20.3,1478.9,,,,,,,,,,,,,,,blue
97,4499844894,1,40,1,6,8,10,1,0,1,0,18012,7.2,19837,250,70,832,1330,25.0,1801.2,12,1,1.0,8.0,6.0,11,1.0,1.0,0.0,0.0,17180.0,7.0,18507.0,186.0,48,-832.0,-1330.0,18.6,1718.0,,,,,,,,,,,,,,,blue
98,4460534353,1,16,0,11,6,11,2,1,1,0,19294,7.4,20668,242,52,2750,2647,24.2,1929.4,14,2,1.0,6.0,11.0,9,0.0,0.0,0.0,0.0,16544.0,7.0,18021.0,203.0,52,-2750.0,-2647.0,20.3,1654.4,,,,,,,,,,,,,,,blue
106,4496624699,1,17,3,6,14,4,0,0,0,0,15786,6.6,16995,200,46,-4443,-4140,20.0,1578.6,16,3,1.0,14.0,6.0,9,1.0,1.0,0.0,0.0,20229.0,7.6,21135.0,227.0,66,4443.0,4140.0,22.7,2022.9,,,,,,,,,,,,,,,blue
108,4522251387,1,12,3,9,5,9,0,0,0,0,17309,7.0,18904,221,36,1425,728,22.1,1730.9,14,2,0.0,5.0,9.0,3,2.0,1.0,1.0,0.0,15884.0,6.8,18176.0,208.0,44,-1425.0,-728.0,20.8,1588.4,,,,,,,,,,,,,,,blue
109,4472377536,1,14,3,6,4,6,1,1,0,0,16416,7.4,19684,211,60,1177,1161,21.1,1641.6,14,0,1.0,4.0,6.0,2,0.0,0.0,0.0,0.0,15239.0,7.0,18523.0,204.0,71,-1177.0,-1161.0,20.4,1523.9,,,,,,,,,,,,,,,blue
110,4466226469,1,19,2,2,7,2,1,1,0,0,15222,7.0,17812,231,64,-1586,410,23.1,1522.2,17,5,0.0,7.0,2.0,14,1.0,0.0,1.0,0.0,16808.0,6.8,17402.0,211.0,64,1586.0,-410.0,21.1,1680.8,,,,,,,,,,,,,,,blue
112,4524445302,1,18,1,12,9,10,0,0,0,0,17597,6.4,15938,143,48,905,1054,14.3,1759.7,12,3,1.0,9.0,12.0,9,0.0,0.0,0.0,0.0,16692.0,6.2,14884.0,181.0,40,-905.0,-1054.0,18.1,1669.2,,,,,,,,,,,,,,,blue
114,4463542711,1,32,2,12,6,12,1,1,0,0,19058,7.2,19575,202,47,3413,2984,20.2,1905.8,16,2,0.0,6.0,12.0,7,0.0,0.0,0.0,0.0,15645.0,6.6,16591.0,210.0,39,-3413.0,-2984.0,21.0,1564.5,,,,,,,,,,,,,,,blue
116,4475094281,1,19,5,7,10,7,0,0,0,0,16643,6.8,17554,227,44,-1820,-1412,22.7,1664.3,17,7,0.0,10.0,7.0,11,0.0,0.0,0.0,0.0,18463.0,7.2,18966.0,231.0,45,1820.0,1412.0,23.1,1846.3,,,,,,,,,,,,,,,blue
117,4513430767,1,14,1,6,4,12,1,1,0,0,16189,6.8,17737,224,39,625,-534,22.4,1618.9,102,1,0.0,4.0,6.0,4,0.0,0.0,0.0,0.0,15564.0,7.0,18271.0,217.0,48,-625.0,534.0,21.7,1556.4,,,,,,,,,,,,,,,blue
122,4454104215,1,14,2,9,8,10,1,1,0,0,17530,7.0,18299,192,43,-7,-231,19.2,1753.0,19,2,1.0,8.0,9.0,8,1.0,0.0,1.0,0.0,17537.0,7.2,18530.0,209.0,60,7.0,231.0,20.9,1753.7,,,,,,,,,,,,,,,blue
123,4516166112,1,13,6,10,7,10,0,0,0,0,18431,7.2,19562,207,44,1683,1433,20.7,1843.1,14,3,0.0,7.0,10.0,5,1.0,1.0,0.0,0.0,16748.0,7.0,18129.0,231.0,56,-1683.0,-1433.0,23.1,1674.8,,,,,,,,,,,,,,,blue
125,4517801069,1,38,3,9,7,11,1,1,0,0,17869,7.0,17810,205,40,636,-214,20.5,1786.9,14,1,0.0,7.0,9.0,9,0.0,0.0,0.0,0.0,17233.0,6.8,18024.0,215.0,48,-636.0,214.0,21.5,1723.3,,,,,,,,,,,,,,,blue
126,4518738712,1,40,1,7,14,6,1,1,0,0,15974,6.2,16174,183,37,-3421,-2624,18.3,1597.4,13,4,1.0,14.0,7.0,12,0.0,0.0,0.0,0.0,19395.0,7.2,18798.0,219.0,49,3421.0,2624.0,21.9,1939.5,,,,,,,,,,,,,,,blue
127,4497571086,1,18,5,5,3,6,1,1,0,0,16108,7.2,18920,240,61,976,1599,24.0,1610.8,39,3,1.0,3.0,5.0,5,0.0,0.0,0.0,0.0,15132.0,6.8,17321.0,230.0,42,-976.0,-1599.0,23.0,1513.2,,,,,,,,,,,,,,,blue
129,4386507847,1,18,5,7,5,6,0,0,0,0,16750,6.8,17603,215,52,1221,462,21.5,1675.0,35,3,1.0,5.0,7.0,5,0.0,0.0,0.0,0.0,15529.0,6.8,17141.0,197.0,48,-1221.0,-462.0,19.7,1552.9,,,,,,,,,,,,,,,blue
130,4474136526,1,17,5,7,1,8,0,0,0,0,16506,7.2,18669,226,36,2037,1291,22.6,1650.6,35,3,1.0,1.0,7.0,0,1.0,1.0,0.0,0.0,14469.0,6.6,17378.0,217.0,80,-2037.0,-1291.0,21.7,1446.9,,,,,,,,,,,,,,,blue
131,4523618632,1,15,5,6,3,11,1,1,0,0,16389,7.0,17937,241,36,817,-94,24.1,1638.9,38,2,0.0,3.0,6.0,3,0.0,0.0,0.0,0.0,15572.0,6.8,18031.0,229.0,58,-817.0,94.0,22.9,1557.2,,,,,,,,,,,,,,,blue
132,4507859079,1,18,2,4,4,4,0,0,0,0,15760,7.0,18295,215,48,-137,-351,21.5,1576.0,15,1,0.0,4.0,4.0,1,1.0,1.0,0.0,0.0,15897.0,7.0,18646.0,227.0,72,137.0,351.0,22.7,1589.7,,,,,,,,,,,,,,,blue
133,4524740998,1,43,6,4,7,4,1,1,0,0,15176,6.4,16820,226,33,-1539,-1497,22.6,1517.6,23,9,0.0,7.0,4.0,12,0.0,0.0,0.0,0.0,16715.0,7.2,18317.0,205.0,52,1539.0,1497.0,20.5,1671.5,,,,,,,,,,,,,,,blue
135,4465066223,1,13,1,6,9,2,1,1,0,0,16250,7.0,17537,228,55,-556,-235,22.8,1625.0,17,1,1.0,9.0,6.0,13,0.0,0.0,0.0,0.0,16806.0,6.8,17772.0,143.0,60,556.0,235.0,14.3,1680.6,,,,,,,,,,,,,,,blue
136,4523411488,1,20,1,9,7,15,1,1,0,0,16541,6.6,16779,199,37,-146,-717,19.9,1654.1,12,3,0.0,7.0,9.0,8,1.0,0.0,1.0,0.0,16687.0,6.8,17496.0,225.0,44,146.0,717.0,22.5,1668.7,,,,,,,,,,,,,,,blue
137,4524017392,1,15,1,12,4,9,1,0,1,0,18657,7.2,19205,227,37,4083,2884,22.7,1865.7,15,2,0.0,4.0,12.0,1,1.0,1.0,0.0,0.0,14574.0,6.6,16321.0,191.0,52,-4083.0,-2884.0,19.1,1457.4,,,,,,,,,,,,,,,blue
138,4513054107,1,17,1,5,5,6,0,0,0,0,16873,7.2,19105,223,64,1389,1418,22.3,1687.3,38,2,1.0,5.0,5.0,7,1.0,1.0,0.0,0.0,15484.0,6.8,17687.0,226.0,49,-1389.0,-1418.0,22.6,1548.4,,,,,,,,,,,,,,,blue
142,4453994009,1,15,3,7,6,7,0,0,0,0,17406,7.2,19761,251,64,1140,705,25.1,1740.6,17,1,0.0,6.0,7.0,4,2.0,1.0,1.0,0.0,16266.0,7.2,19056.0,190.0,56,-1140.0,-705.0,19.0,1626.6,,,,,,,,,,,,,,,blue
144,4512811324,1,23,3,10,5,16,0,0,0,0,17272,6.4,15840,192,40,2171,-261,19.2,1727.2,37,2,1.0,5.0,10.0,6,2.0,1.0,1.0,0.0,15101.0,6.6,16101.0,199.0,40,-2171.0,261.0,19.9,1510.1,,,,,,,,,,,,,,,blue
145,4438263187,1,18,1,12,4,15,0,0,0,0,19358,7.2,19257,206,60,3841,2484,20.6,1935.8,14,2,0.0,4.0,12.0,3,0.0,0.0,0.0,0.0,15517.0,6.8,16773.0,216.0,56,-3841.0,-2484.0,21.6,1551.7,,,,,,,,,,,,,,,blue
146,4483907436,1,16,3,4,11,5,1,0,1,1,16855,6.6,16360,232,40,-885,-2172,23.2,1685.5,37,1,1.0,11.0,4.0,15,1.0,1.0,0.0,0.0,17740.0,7.2,18532.0,216.0,36,885.0,2172.0,21.6,1774.0,,,,,,,,,,,,,,,blue
148,4515587675,1,17,3,13,9,22,0,0,0,0,19542,7.0,17935,207,31,2081,466,20.7,1954.2,17,4,0.0,9.0,13.0,11,0.0,0.0,0.0,0.0,17461.0,7.0,17469.0,200.0,44,-2081.0,-466.0,20.0,1746.1,,,,,,,,,,,,,,,blue
156,4449504375,1,15,9,13,5,10,2,1,1,0,20038,7.8,21588,222,71,4079,5568,22.2,2003.8,39,1,1.0,5.0,13.0,6,0.0,0.0,0.0,0.0,15959.0,6.6,16020.0,208.0,40,-4079.0,-5568.0,20.8,1595.9,,,,,,,,,,,,,,,blue
157,4468503240,1,91,3,10,5,13,0,0,0,1,19571,7.2,18463,213,50,4006,2081,21.3,1957.1,17,1,1.0,5.0,10.0,6,0.0,0.0,0.0,0.0,15565.0,6.6,16382.0,210.0,47,-4006.0,-2081.0,21.0,1556.5,,,,,,,,,,,,,,,blue
159,4505357300,1,16,4,6,6,5,0,0,0,0,16029,7.0,18567,205,56,-355,233,20.5,1602.9,19,3,1.0,6.0,6.0,5,1.0,1.0,0.0,0.0,16384.0,7.0,18334.0,224.0,48,355.0,-233.0,22.4,1638.4,,,,,,,,,,,,,,,blue
160,4523723534,1,18,11,7,6,8,0,0,0,1,18053,6.6,16741,207,46,3464,994,20.7,1805.3,41,1,0.0,6.0,7.0,6,0.0,0.0,0.0,0.0,14589.0,6.4,15747.0,178.0,22,-3464.0,-994.0,17.8,1458.9,,,,,,,,,,,,,,,blue
161,4479157446,1,16,2,9,5,9,1,1,0,0,18098,7.0,18905,225,60,2217,2183,22.5,1809.8,12,1,0.0,5.0,9.0,3,1.0,0.0,1.0,0.0,15881.0,6.6,16722.0,229.0,32,-2217.0,-2183.0,22.9,1588.1,,,,,,,,,,,,,,,blue
162,4518376722,1,13,1,8,3,9,2,1,1,0,18343,7.2,19519,235,59,3049,1511,23.5,1834.3,13,3,0.0,3.0,8.0,2,0.0,0.0,0.0,0.0,15294.0,7.0,18008.0,234.0,54,-3049.0,-1511.0,23.4,1529.4,,,,,,,,,,,,,,,blue
163,4521259209,1,13,2,5,6,4,1,1,0,0,15596,7.0,17998,198,44,-305,-474,19.8,1559.6,25,2,1.0,6.0,5.0,7,0.0,0.0,0.0,0.0,15901.0,7.0,18472.0,199.0,40,305.0,474.0,19.9,1590.1,,,,,,,,,,,,,,,blue
165,4524913184,1,17,2,6,6,10,0,0,0,0,15947,6.4,16477,221,44,-53,87,22.1,1594.7,14,4,0.0,6.0,6.0,9,1.0,1.0,0.0,0.0,16000.0,6.4,16390.0,203.0,52,53.0,-87.0,20.3,1600.0,,,,,,,,,,,,,,,blue
169,4518835789,1,22,6,7,3,6,1,1,0,0,19140,7.4,19579,253,64,5008,2355,25.3,1914.0,60,6,0.0,3.0,7.0,3,1.0,0.0,1.0,0.0,14132.0,6.8,17224.0,179.0,45,-5008.0,-2355.0,17.9,1413.2,,,,,,,,,,,,,,,blue
171,4512067346,1,14,5,5,4,7,1,0,1,0,15644,6.8,17717,188,63,-3,1013,18.8,1564.4,20,3,1.0,4.0,5.0,7,0.0,0.0,0.0,0.0,15647.0,6.6,16704.0,190.0,48,3.0,-1013.0,19.0,1564.7,,,,,,,,,,,,,,,blue
173,4522399054,1,38,2,5,5,6,1,1,0,0,16794,6.8,17320,229,39,510,-747,22.9,1679.4,37,4,0.0,5.0,5.0,6,1.0,0.0,1.0,0.0,16284.0,7.2,18067.0,216.0,55,-510.0,747.0,21.6,1628.4,,,,,,,,,,,,,,,blue
175,4523035934,1,17,4,6,6,6,0,0,0,0,16936,7.2,18646,240,56,272,359,24.0,1693.6,56,2,1.0,6.0,6.0,7,1.0,1.0,0.0,0.0,16664.0,6.8,18287.0,199.0,68,-272.0,-359.0,19.9,1666.4,,,,,,,,,,,,,,,blue
176,4429486916,1,18,2,9,5,9,0,0,0,0,17941,7.2,19379,230,51,2187,2189,23.0,1794.1,45,3,0.0,5.0,9.0,5,0.0,0.0,0.0,0.0,15754.0,7.0,17190.0,206.0,52,-2187.0,-2189.0,20.6,1575.4,,,,,,,,,,,,,,,blue
178,4522798631,1,14,3,5,4,3,1,1,0,0,15943,7.4,19262,238,64,63,648,23.8,1594.3,16,1,0.0,4.0,5.0,5,0.0,0.0,0.0,0.0,15880.0,7.0,18614.0,210.0,64,-63.0,-648.0,21.0,1588.0,,,,,,,,,,,,,,,blue
179,4477176627,1,17,0,4,8,6,1,0,1,0,15891,7.0,18304,222,68,-2132,-484,22.2,1589.1,15,2,1.0,8.0,4.0,13,1.0,1.0,0.0,0.0,18023.0,7.0,18788.0,230.0,47,2132.0,484.0,23.0,1802.3,,,,,,,,,,,,,,,blue
182,4495710198,1,16,1,8,2,5,1,1,0,0,16909,7.2,18318,229,40,2304,2532,22.9,1690.9,14,3,0.0,2.0,8.0,2,0.0,0.0,0.0,0.0,14605.0,6.2,15786.0,208.0,44,-2304.0,-2532.0,20.8,1460.5,,,,,,,,,,,,,,,blue
183,4520931258,1,15,6,10,2,11,0,0,0,0,18858,7.2,19691,218,70,4219,3379,21.8,1885.8,83,3,1.0,2.0,10.0,1,1.0,1.0,0.0,0.0,14639.0,6.6,16312.0,219.0,56,-4219.0,-3379.0,21.9,1463.9,,,,,,,,,,,,,,,blue
187,4494781192,1,16,3,9,7,13,2,1,1,0,17906,6.8,18001,178,60,510,142,17.8,1790.6,14,1,1.0,7.0,9.0,4,0.0,0.0,0.0,0.0,17396.0,6.8,17859.0,215.0,56,-510.0,-142.0,21.5,1739.6,,,,,,,,,,,,,,,blue
192,4489494110,1,25,5,14,3,15,0,0,0,0,20317,7.4,20330,212,54,6153,3916,21.2,2031.7,13,4,0.0,3.0,14.0,4,0.0,0.0,0.0,0.0,14164.0,6.4,16414.0,196.0,45,-6153.0,-3916.0,19.6,1416.4,,,,,,,,,,,,,,,blue
195,4524697287,1,17,4,6,6,5,1,0,1,0,17052,6.6,17392,210,54,1917,-179,21.0,1705.2,14,2,0.0,6.0,6.0,3,1.0,1.0,0.0,0.0,15135.0,7.0,17571.0,194.0,51,-1917.0,179.0,19.4,1513.5,,,,,,,,,,,,,,,blue
